formula,label,sg,temperature,seebeck,cond_elec,cond_therm,n_rot,n_inv,n_rotoinv,n_mirror,n_rot_screw,1/2tran_screw,1/3tran_screw,3/4tran_screw,1/4tran_screw,1/6tran_screw,n_glide,1/2tran_glide,3/4tran_glide,1/4tran_glide,n_tr,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData mode Number,MagpieData mean MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mode AtomicWeight,MagpieData mean MeltingT,MagpieData mode MeltingT,MagpieData mean Column,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,transition metal fraction,band center,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons
BiSb(Se0.92Br0.08)3,BiSb(Se0.92Br0.08)3_300,Pnma,300,-110.0,27766.0,0.63,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.248,34,87.888,89,113.569392,78.96,575.0824,494.0,15.648,120,148,129.4,2.02,2.96,0.94,2.36368,2.0,0.0,2,3.648,0.5184,4,10.0,0.0,2.8,4.48,0,18.448,4.2208,16,0.0,0.0,0,2.352,0.5184,2,0.0,0.0,0,0.0,0.0,0,2.352,0.5184,2,28.62488,2.98618752,25.92,0.0,1.457,1.457,0.510984,0.4087872,0.799,0.0,0.0,0.0,0.0,5.33835033,2.0,3.648,10.0,2.8,0.1084128361,0.197745013,0.5420641804,0.1517779705
BiSb(Se0.92Br0.08)3,BiSb(Se0.92Br0.08)3_400,Pnma,400,-138.0,23883.0,0.57,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.248,34,87.888,89,113.569392,78.96,575.0824,494.0,15.648,120,148,129.4,2.02,2.96,0.94,2.36368,2.0,0.0,2,3.648,0.5184,4,10.0,0.0,2.8,4.48,0,18.448,4.2208,16,0.0,0.0,0,2.352,0.5184,2,0.0,0.0,0,0.0,0.0,0,2.352,0.5184,2,28.62488,2.98618752,25.92,0.0,1.457,1.457,0.510984,0.4087872,0.799,0.0,0.0,0.0,0.0,5.33835033,2.0,3.648,10.0,2.8,0.1084128361,0.197745013,0.5420641804,0.1517779705
BiSb(Se0.92Br0.08)3,BiSb(Se0.92Br0.08)3_500,Pnma,500,-163.0,20850.0,0.53,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.248,34,87.888,89,113.569392,78.96,575.0824,494.0,15.648,120,148,129.4,2.02,2.96,0.94,2.36368,2.0,0.0,2,3.648,0.5184,4,10.0,0.0,2.8,4.48,0,18.448,4.2208,16,0.0,0.0,0,2.352,0.5184,2,0.0,0.0,0,0.0,0.0,0,2.352,0.5184,2,28.62488,2.98618752,25.92,0.0,1.457,1.457,0.510984,0.4087872,0.799,0.0,0.0,0.0,0.0,5.33835033,2.0,3.648,10.0,2.8,0.1084128361,0.197745013,0.5420641804,0.1517779705
BiSb(Se0.92Br0.08)3,BiSb(Se0.92Br0.08)3_600,Pnma,600,-181.0,19000.0,0.51,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.248,34,87.888,89,113.569392,78.96,575.0824,494.0,15.648,120,148,129.4,2.02,2.96,0.94,2.36368,2.0,0.0,2,3.648,0.5184,4,10.0,0.0,2.8,4.48,0,18.448,4.2208,16,0.0,0.0,0,2.352,0.5184,2,0.0,0.0,0,0.0,0.0,0,2.352,0.5184,2,28.62488,2.98618752,25.92,0.0,1.457,1.457,0.510984,0.4087872,0.799,0.0,0.0,0.0,0.0,5.33835033,2.0,3.648,10.0,2.8,0.1084128361,0.197745013,0.5420641804,0.1517779705
BiSb(Se0.92Br0.08)3,BiSb(Se0.92Br0.08)3_700,Pnma,700,-193.0,17925.0,0.5,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.248,34,87.888,89,113.569392,78.96,575.0824,494.0,15.648,120,148,129.4,2.02,2.96,0.94,2.36368,2.0,0.0,2,3.648,0.5184,4,10.0,0.0,2.8,4.48,0,18.448,4.2208,16,0.0,0.0,0,2.352,0.5184,2,0.0,0.0,0,0.0,0.0,0,2.352,0.5184,2,28.62488,2.98618752,25.92,0.0,1.457,1.457,0.510984,0.4087872,0.799,0.0,0.0,0.0,0.0,5.33835033,2.0,3.648,10.0,2.8,0.1084128361,0.197745013,0.5420641804,0.1517779705
BiSb(Se0.92Br0.08)3,BiSb(Se0.92Br0.08)3_800,Pnma,800,-203.0,17340.0,0.44,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.248,34,87.888,89,113.569392,78.96,575.0824,494.0,15.648,120,148,129.4,2.02,2.96,0.94,2.36368,2.0,0.0,2,3.648,0.5184,4,10.0,0.0,2.8,4.48,0,18.448,4.2208,16,0.0,0.0,0,2.352,0.5184,2,0.0,0.0,0,0.0,0.0,0,2.352,0.5184,2,28.62488,2.98618752,25.92,0.0,1.457,1.457,0.510984,0.4087872,0.799,0.0,0.0,0.0,0.0,5.33835033,2.0,3.648,10.0,2.8,0.1084128361,0.197745013,0.5420641804,0.1517779705
BiSb(Se0.94Br0.06)3,BiSb(Se0.94Br0.06)3_300,Pnma,300,-112.0,26117.0,0.64,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.236,34,87.816,89,113.558064,78.96,577.8208,494.0,15.636,120,148,129.4,2.02,2.96,0.94,2.35876,2.0,0.0,2,3.636,0.5088,4,10.0,0.0,2.8,4.48,0,18.436,4.2256,16,0.0,0.0,0,2.364,0.5088,2,0.0,0.0,0,0.0,0.0,0,2.364,0.5088,2,28.58216,3.00291648,25.92,0.0,1.457,1.457,0.503088,0.4024704,0.799,0.0,0.0,0.0,0.0,5.32210377,2.0,3.636,10.0,2.8,0.108483402,0.1972228249,0.5424170102,0.1518767629
BiSb(Se0.94Br0.06)3,BiSb(Se0.94Br0.06)3_400,Pnma,400,-141.0,22500.0,0.57,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.236,34,87.816,89,113.558064,78.96,577.8208,494.0,15.636,120,148,129.4,2.02,2.96,0.94,2.35876,2.0,0.0,2,3.636,0.5088,4,10.0,0.0,2.8,4.48,0,18.436,4.2256,16,0.0,0.0,0,2.364,0.5088,2,0.0,0.0,0,0.0,0.0,0,2.364,0.5088,2,28.58216,3.00291648,25.92,0.0,1.457,1.457,0.503088,0.4024704,0.799,0.0,0.0,0.0,0.0,5.32210377,2.0,3.636,10.0,2.8,0.108483402,0.1972228249,0.5424170102,0.1518767629
BiSb(Se0.94Br0.06)3,BiSb(Se0.94Br0.06)3_500,Pnma,500,-169.0,19362.0,0.53,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.236,34,87.816,89,113.558064,78.96,577.8208,494.0,15.636,120,148,129.4,2.02,2.96,0.94,2.35876,2.0,0.0,2,3.636,0.5088,4,10.0,0.0,2.8,4.48,0,18.436,4.2256,16,0.0,0.0,0,2.364,0.5088,2,0.0,0.0,0,0.0,0.0,0,2.364,0.5088,2,28.58216,3.00291648,25.92,0.0,1.457,1.457,0.503088,0.4024704,0.799,0.0,0.0,0.0,0.0,5.32210377,2.0,3.636,10.0,2.8,0.108483402,0.1972228249,0.5424170102,0.1518767629
BiSb(Se0.94Br0.06)3,BiSb(Se0.94Br0.06)3_600,Pnma,600,-186.0,17500.0,0.51,0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,34,83,47.236,34,87.816,89,113.558064,78.96,577.8208,494.0,15.636,120,148,129.4,2.02,2.96,0.94,2.35876,2.0,0.0,2,3.636,0.5088,4,10.0,0.0,2.8,4.48,0,18.436,4.2256,16,0.0,0.0,0,2.364,0.5088,2,0.0,0.0,0,0.0,0.0,0,2.364,0.5088,2,28.58216,3.00291648,25.92,0.0,1.457,1.457,0.503088,0.4024704,0.799,0.0,0.0,0.0,0.0,5.32210377,2.0,3.636,10.0,2.8,0.108483402,0.1972228249,0.5424170102,0.1518767629
