n_rot,n_inv,n_rotoinv,n_mirror,n_rot_screw,1/2tran_screw,1/3tran_screw,3/4tran_screw,1/4tran_screw,1/6tran_screw,n_glide,1/2tran_glide,3/4tran_glide,1/4tran_glide,n_tr,index
3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,1080
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,6
3,0.0,4,6,3,1,0,0,0,1,6,1,0,0,1,1042
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,2801
0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1524
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,419
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2504
0,0.0,0,0,2,1,0,0,0,0,0,0,0,0,0,1531
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3047
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,2181
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,18
2,2.0,0,1,2,1,0,0,0,0,1,1,0,0,1,1640
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,0
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3299
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,922
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2924
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,409
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,2918
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,966
2,2.0,0,1,2,1,0,0,0,0,1,1,0,0,1,1622
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3293
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,58
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,2268
3,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,194
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2350
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3067
3,0.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1023
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2930
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,2280
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2344
3,1.0,6,4,2,1,0,0,0,0,3,1,0,0,0,2244
0,1.0,0,1,2,1,0,0,0,0,2,1,0,0,0,12
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,2145
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2497
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1939
2,1.0,0,2,2,1,0,0,0,0,1,1,0,0,0,2712
3,0.0,4,6,0,0,0,0,0,0,0,0,0,0,0,1018
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,262
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,1209
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,127
3,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,1086
0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,1269
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,258
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3072
2,0.0,4,2,2,1,0,0,0,0,2,1,0,0,1,42
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,1262
3,1.0,3,0,0,0,0,0,0,0,0,0,0,0,0,178
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2478
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1976
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2111
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,1945
3,0.0,0,3,6,1,0,0,0,0,3,1,0,0,0,332
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,2326
3,1.0,3,3,0,0,0,0,0,0,0,0,0,0,0,3097
2,2.0,0,2,2,1,0,0,0,0,4,1,0,0,1,2688
3,0.0,4,9,3,1,1,0,0,0,15,1,0,1,3,254
4,4.0,4,12,4,1,1,0,1,0,24,1,0,0,3,898
