seebeck,cond_elec,cond_therm,index
384.0,2850.0,0.8,1080
-112.0,26117.0,0.64,6
369.0,7591.0,0.95,1042
250.0,3231.0,0.43,2801
-91.0,61743.0,0.61,1524
-132.0,13260.0,0.58,419
51.0,260830.0,1.69,2504
-107.0,75500.0,0.67,1531
-220.0,15045.0,1.1,3047
29.0,527826.0,5.27,2181
-109.0,21915.0,0.68,18
161.0,507.0,0.72,1640
-110.0,27766.0,0.63,0
95.0,62222.0,1.08,3299
76.0,162900.0,2.94,922
26.0,493269.0,2.88,2924
-92.0,36263.0,0.83,409
198.0,402.0,1.27,2918
8.0,387019.0,3.41,966
327.0,29.0,0.53,1622
206.0,10688.0,0.74,3293
150.0,28400.0,2.1,58
99.0,15891.0,0.5,2268
119.0,118055.0,2.61,194
120.0,59076.0,2.26,2350
-183.0,20045.0,0.95,3067
41.0,168657.0,2.84,1023
26.0,436538.0,2.43,2930
172.0,1485.0,0.45,2280
115.0,81560.0,2.47,2344
120.0,5147.0,0.45,2244
-100.0,21000.0,0.65,12
36.0,429021.0,5.74,2145
89.0,125700.0,0.83,2497
58.0,121745.0,1.15,1939
-75.0,89860.0,1.66,2712
21.0,400000.0,6.56,1018
120.0,400000.0,13.0,262
-279.0,7900.0,0.87,1209
123.0,330233.0,13.27,127
258.0,4955.0,0.79,1086
228.0,372.0,1.09,1066
-127.0,88742.0,6.23,1269
103.0,430000.0,11.3,258
-199.0,2217.0,1.12,3072
175.0,20200.0,2.04,42
-108.0,162252.0,6.13,1262
125.0,100500.0,2.29,178
17.0,882432.0,7.06,2478
133.0,2.0,0.46,1976
239.0,13615.0,4.94,2111
57.0,87973.0,1.04,1945
-76.0,55100.0,7.91,332
106.0,108496.0,2.52,2326
-218.0,25916.0,1.14,3097
-90.0,84.0,0.66,2688
72.0,460000.0,7.5,254
54.0,325773.0,4.55,898
89.0,121014.0,0.87,1188
327.0,2308.0,4.3,2119
84.0,668992.0,7.34,100
181.0,1718.0,2.91,2151
93.0,114433.0,2.01,884
66.0,133500.0,1.85,2103
